year	AMS
1951	48.31907
1952	72.69949
1953	106.42570
1954	51.08283
1955	99.41634
1956	64.43565
1957	71.62292
1958	80.40573
1959	99.25787
1960	89.59435
1961	69.25833
1962	62.73069
1963	124.61946
1964	215.50169
1965	39.60932
1966	57.47666
1967	59.07743
1968	47.34693
1969	74.30657
1970	63.49223
1971	72.23702
1972	68.10226
1973	41.05254
1974	77.92107
1975	74.48300
1976	36.39220
1977	53.34422
1978	75.82010
1979	56.89857
1980	79.63629
1981	58.43936
1982	76.32398
1983	53.24160
1984	64.82685
1985	96.79358
1986	30.56227
1987	54.77048
1988	34.60566
1989	49.67533
1990	31.80948
1991	62.28151
1992	53.38174
1993	41.84569
1994	56.77417
1995	41.10582
1996	74.72604
1997	50.50210
1998	50.44716
1999	125.54644
2000	44.37659
2001	27.01298
2002	44.14278
2003	65.84921
2004	53.37236
2005	97.59150
2006	108.79816
2007	31.38568
2008	69.30801
2009	122.44511
2010	113.36590
2011	166.52591
2012	47.32835
2013	49.75235
2014	54.88378
2015	51.41386
2016	111.17889
2017	49.76478
2018	33.23011
