year	AMS
1951	35.36000
1952	39.43000
1953	36.34000
1954	37.28000
1955	35.82000
1956	36.13000
1957	37.24000
1958	35.88000
1959	36.16000
1960	36.81000
1961	35.74000
1962	34.34000
1963	35.48000
1964	34.34000
1965	34.38000
1966	35.93000
1967	33.09000
1968	36.32000
1969	35.70000
1970	34.70000
1971	34.50000
1972	35.10000
1973	33.71000
1974	34.33000
1975	35.21000
1976	34.14000
1977	38.24000
1978	35.25000
1979	35.07000
1980	38.14000
1981	37.12000
1982	33.32000
1983	37.41000
1984	35.04000
1985	35.80000
1986	37.14000
1987	37.01000
1988	36.82000
1989	36.78000
1990	36.37000
1991	37.35000
1992	38.06000
1993	38.82000
1994	36.47000
1995	37.43000
1996	36.30000
1997	36.55000
1998	36.44000
1999	37.14000
2000	34.98000
2001	35.61000
2002	36.42000
2003	36.21000
2004	34.04000
2005	38.07000
2006	38.28000
2007	37.60000
2008	37.78000
2009	34.59000
2010	40.03000
2011	36.82000
2012	36.82335
2013	34.94334
2014	34.88246
2015	35.79246
2016	35.25335
2017	34.77335
2018	35.05246
